919,Vento Sul
920,Sans Atout-1
921,Miss Nippon IV
922,New Zealand-1
923,Tramontane
924,Sandra
925,"Milwaukee Turnverein, Milwaukee"
926,Nurdug II
927,Eleda
928,Lbeck
929,Yeoman
930,Boer Team
931,Beatrijs III-1
932,Lancet
933,West Germany-3
934,Lesotho
935,Ravenswood Boat Club-2
936,Whisper
937,Irene
938,Balaton
939,Kuling
940,Sif
941,Djinn
942,Mascotte
943,Bona Fide
944,Laurea-1
945,Skidoo
946,Tomahawk II
947,Whirlaway
948,Sorais-2
949,Minotaur
950,United States-5
951,Surprise
952,Zut
953,Tan-Fe-Pah
954,Ciss
955,Australia-3
956,Bohemia-3
957,Boreas
958,MitaII
959,Escapade
960,Slovakia-1
961,Ralia
962,Clearwater
963,Angerburg
964,Singapore-2
965,United States-8
966,Barco Deloro
967,Dick-8
968,Yugoslavia-2
969,Kalayaan
970,Bohemia-2
971,Olimpia
972,Macky VI
973,Nrnberg
974,Nephos I
975,Tengiri
976,Hayama
977,Rush VII
978,Rush V
979,Ethnikos Gymnastikos Syllogos
980,John B
981,Bim
982,Bonaparte
983,North Korea-2
984,Mythilus
985,Rambo
986,Floresco
987,Hong Kong-2
988,Luxembourg-2
989,Lucky
990,Spirit VI
991,Lully II
992,Sildra-1
993,Noreg
994,Subbnboana
995,"Phalainis ton Thorichtou ""Psara""-3"
996,Slovenia-1
997,Rostock
998,Norman-1
999,Olympion
1000,Sunshine
1001,Heidelberg
1002,Amulet-7
1003,Amulet-3
1004,Omas Helliniki P. S.
1005,Crocodile-13
1006,Crocodile-11
1007,Leipzig
1008,Red Indian
1009,Alcyon-6
1010,Alcyon-7
1011,Suzon IV-39
1012,Suzon IV-5
1013,Mascaret-28
1014,Mascaret-4
1015,Poland-3
1016,Sibindi-2
1017,Pupilles de Neptune de Lille-1
1018,Combine
1019,Stade Franais AC-2
1020,Kathleen
1021,Club Nautique de Lyon-2
1022,Holland
1023,Starita
1024,United States-12
1025,Argo II
1026,State VI
1027,Frimousse
1028,Denmark-4
1029,Portugal-2
1030,France/Great Britain
1031,Gyp-23
1032,Gyp-6
1033,Zefyros
1034,Pirouette-31
1035,Pirouette-5
1036,Societ Nautique de la Marne-1
1037,Mebi
1038,Slovenia-2
1039,Riccar
1040,Japan-3
1041,Lynn
1042,Neptun II
1043,Potomac Archers
1044,Ireland-1
1045,Brentina
1046,Nan-2
1047,Hannover
1048,Scamasaxe-34
1049,Scamasaxe-2
1050,Scamasaxe-3
1051,Three Star Too
1052,Bellatrix IX
1053,Bellatrix XIII
1054,Jeanette-25
1055,Jeannette-18
1056,Turquoise-1
1057,Turquoise-3
1058,Roehampton-1
1059,Glisten
1060,Nadine
1061,Grifone
1062,Twinkle
1063,Myojo
1064,Ducky-16
1065,Ducky-4
1066,Rose Pompon
1067,Souriceau-38
1068,Souriceau-4
1069,United States-11
1070,Lady C
1071,Frieda
1072,Marsouin-26
1073,Marsouin-8
1074,Persey
1075,Hi-Hi
1076,Atalanta Boat Club-1
1077,Atalanta Boat Club-2
1078,Wendehals
1079,New York Athletic Club
1080,Titia
1081,Pimm
1082,Gustel X
1083,Gustl XI
1084,Thailand-1
1085,Pop Art
1086,Barrenjoey
1087,South Africa-1
1088,Voloira II
1089,Uzbekistan-2
1090,Bremen
1091,Quando Quando
1092,Donar III
1093,Hojwa
1094,Tineke
1095,Danuta
1096,Maryke
1097,Falcon VI
1098,Thailand-2
1099,Manana
1100,Pandora
1101,Rampage
1102,Diabolo St Maurice
1103,Ravel
1104,Humbug V
1105,Astrid III
1106,Kln
1107,Demi-Mondaine-15
1108,Demi-Mondaine-17
1109,Nokaut II
1110,Almaz
1111,Tulilind
1112,New Zealand-2
1113,Notavel
1114,Galopin De La Font
1115,Margaret
1116,Portugal-1
1117,Comanche
1118,Cicely-1
1119,Ma'Lindo
1120,Harmony
1121,Independent Rowing Club-3
1122,Marie-Tim
1123,Uzbekistan-1
1124,Orion
1125,Merope
1126,Scaup
1127,Legionario
1128,Merope III
1129,Enotria
1130,Verveine-41
1131,Verveine-19
1132,Bohemia/Great Britain
1133,Ariette-8
1134,Ariette-10
1135,Greenoaks Dundee
1136,Fantlet-2
1137,Fantlet-7
1138,Maid of Lebanon
1139,Danaldo
1140,Lyn-2
1141,Sunrise
1142,Falcon IV
1143,Potsdam
1144,Giselle-6
1145,United States-13
1146,China-3
1147,Ardilla
1148,Greece-4
1149,Windor
1150,Vim III
1151,Lasha
1152,Hilarius
1153,Hakahana
1154,Glider
1155,Jamaica-1
1156,Squid III
1157,Singapore-1
1158,Mamie-4
1159,C.V.A.-14
1160,Singy-37
1161,C.V.A.-7
1162,Mamie-6
1163,Singy-7
1164,Hamburg
1165,Mac Miche
1166,Camille
1167,Serbia-1
1168,Cuxhaven
1169,Formosa
1170,Danzig
1171,Salinero
1172,Sjovinge
1173,Brandenburg
1174,Hungary-3
1175,Freia-19
1176,Freia-5
1177,Luxembourg-1
1178,Satchmo
1179,Sea Dog-2
1180,Mainz
1181,Solos Carex
1182,Dow Jones
1183,Digby
